id,oneway,category,nodes
263,False,service,"[u'2703797226', u'2703796564', u'1759597535', u'1759597982', u'1759597818']"
264,False,service,"[u'2703797226', u'1759597813']"
265,False,service,"[u'1759597813', u'2703797226']"
266,False,service,"[u'1759597808', u'2717862534', u'2703797225']"
267,False,service,"[u'2703797225', u'2717862534', u'1759597808']"
268,False,service,"[u'2703797225', u'2703796565', u'1759597588', u'1759597820', u'1759597771']"
269,False,service,"[u'1759597771', u'1759597820', u'1759597588', u'2703796565', u'2703797225']"
270,False,service,"[u'1759597771', u'1759597851', u'1759597943']"
271,False,service,"[u'1759597943', u'1759597851', u'1759597771']"
272,False,service,"[u'1759597943', u'1759597508', u'1759597936', u'1759598112']"
273,False,service,"[u'1759598112', u'1759597936', u'1759597508', u'1759597943']"
274,False,service,"[u'1759598112', u'1759597802', u'1759597836']"
275,False,service,"[u'1759597836', u'1759597802', u'1759598112']"
276,False,service,"[u'1759597571', u'2717558630', u'1486922512']"
277,False,service,"[u'1486922512', u'2717558630', u'1759597571']"
278,False,service,"[u'1759597680', u'1759597940']"
279,False,service,"[u'1759597940', u'1759597680']"
280,False,service,"[u'1759597940', u'1759597638']"
281,False,service,"[u'1759597638', u'1759597940']"
282,False,service,"[u'1759597638', u'1759597897', u'1759597565', u'1759597561']"
283,False,service,"[u'1759597561', u'1759597565', u'1759597897', u'1759597638']"
284,False,service,"[u'1486922483', u'1759597816', u'1759597809', u'1759598194', u'1759598103', u'1759597627', u'1759597664']"
285,False,service,"[u'1759597664', u'1759597627', u'1759598103', u'1759598194', u'1759597809', u'1759597816', u'1486922483']"
286,False,service,"[u'1759598123', u'1759597757', u'1759597971', u'1759597610', u'1759597666']"
287,False,service,"[u'1759597666', u'1759597610', u'1759597971', u'1759597757', u'1759598123']"
288,False,service,"[u'1759597666', u'1759598029']"
289,False,service,"[u'1759598029', u'1759597666']"
290,False,service,"[u'1759598029', u'1759597636']"
291,False,service,"[u'1759597636', u'1759598029']"
