id,from,to,cost
318,1437,1491,26.20296764254881
319,1491,1437,26.202967642522307
320,1642,1445,85.36459243537621
321,1445,1642,85.36459243551717
322,1445,1427,66.33485329782735
323,1427,1445,66.33485329770338
324,1427,1615,21.3057613294514
325,1615,1427,21.30576132967477
326,1615,1577,96.45092860628128
327,1577,1615,96.45092860695136
328,1577,1686,88.45175111587082
329,1686,1577,88.45175111646574
330,1656,1507,28.322014875168144
331,1507,1656,28.322014874696155
332,1507,1689,21.312048091813253
333,1689,1507,21.31204809168037
334,1689,1610,11.578357195969813
335,1610,1689,11.578357195876391
336,1610,1414,18.843370065913348
337,1414,1610,18.84337006591145
338,1414,1656,22.589664951386872
339,1656,1414,22.58966495136409
340,1679,1486,113.42791174218591
341,1486,1679,113.42791174233152
342,1451,1598,49.720859750155505
343,1598,1451,49.72085975030878
344,1598,1606,85.11325267737665
345,1606,1598,85.11325267690488
346,1434,4215,14.795831195966727
347,4215,1434,14.795831195867484
348,1531,1429,27.451692242292467
349,1429,1531,27.45169224232389
350,1500,1494,545.7975199841371
351,1494,1500,545.7975199841206
352,1494,1478,9.959411740645232
353,1478,1494,9.959411740644851
354,1679,1416,76.68900845966816
355,1416,1679,76.6890084597373
356,1431,723,222.22628913622484
357,723,1431,222.22628913588483
358,4,28,431.7033636376159
359,28,4,431.7033636371367
360,1731,1478,139.4634814466639
361,1478,1731,139.46348144610465
362,1591,1708,344.18540846393
363,1708,1591,344.1854084638614
364,1708,1591,245.10806030749612
365,1591,1708,245.10806030725053
366,1591,1731,12.916102376432546
367,1731,1591,12.916102376253415
368,1587,1631,10.653845994362355
369,1631,1587,10.653845994419186
370,1631,1636,518.9180859622944
371,1636,1631,518.9180859623923
372,19,1745,43.906970849792025
373,1745,19,43.906970850078174
374,1745,1749,10.468195792191873
375,1749,1745,10.468195792034225
376,1749,1739,46.62373554620004
