id,from,to,cost,nodes
364,1797189456,1759597945,245.1080603074961,"[u'1797189456', u'1797189455', u'1797189448', u'1797189449', u'1797189451', u'1797189457', u'1797189460', u'1797189461', u'1797189463', u'1797189465', u'1797189466', u'2717907110', u'2614584214', u'2614583829', u'1759597945']"
365,1759597945,1797189456,245.10806030725055,"[u'1759597945', u'2614583829', u'2614584214', u'2717907110', u'1797189466', u'1797189465', u'1797189463', u'1797189461', u'1797189460', u'1797189457', u'1797189451', u'1797189449', u'1797189448', u'1797189455', u'1797189456']"
366,1759597945,1797189479,12.916102376432544,"[u'1759597945', u'1797189473', u'1797189479']"
367,1797189479,1759597945,12.916102376253416,"[u'1797189479', u'1797189473', u'1759597945']"
368,1759597941,1759598037,10.653845994362355,"[u'1759597941', u'1759598037']"
369,1759598037,1759597941,10.653845994419186,"[u'1759598037', u'1759597941']"
370,1759598037,1759598056,518.9180859622945,"[u'1759598037', u'1759597503', u'1759597559', u'1759597772', u'1759598027', u'1759598056']"
371,1759598056,1759598037,518.9180859623924,"[u'1759598056', u'1759598027', u'1759597772', u'1759597559', u'1759597503', u'1759598037']"
372,1187044733,1797222854,43.90697084979202,"[u'1187044733', u'1797222844', u'1797222846', u'1797222848', u'1797222852', u'1797222854']"
373,1797222854,1187044733,43.90697085007817,"[u'1797222854', u'1797222852', u'1797222848', u'1797222846', u'1797222844', u'1187044733']"
374,1797222854,1797222867,10.468195792191871,"[u'1797222854', u'1797222865', u'1797222867']"
375,1797222867,1797222854,10.468195792034223,"[u'1797222867', u'1797222865', u'1797222854']"
376,1797222867,1797222842,46.62373554620004,"[u'1797222867', u'1797222869', u'1797222868', u'1797222866', u'1797222864', u'1797222850', u'1797222842']"
377,1797222842,1797222867,46.62373554611709,"[u'1797222842', u'1797222850', u'1797222864', u'1797222866', u'1797222868', u'1797222869', u'1797222867']"
378,1759598231,1797222867,36.66829977718251,"[u'1759598231', u'1797222867']"
379,1797222867,1759598231,36.66829977706795,"[u'1797222867', u'1759598231']"
380,1797222854,1759597985,36.74084439726228,"[u'1797222854', u'1759597985']"
381,1759597985,1797222854,36.740844396887574,"[u'1759597985', u'1797222854']"
382,2614586196,2614586200,38.67299800021992,"[u'2614586196', u'2614586200']"
383,2614586200,2614586196,38.67299800038109,"[u'2614586200', u'2614586196']"
384,1486922499,1486922498,38.339647483995215,"[u'1486922499', u'1486922498']"
385,1486922498,1486922499,38.33964748430596,"[u'1486922498', u'1486922499']"
386,1486922499,1759597567,101.2924214375657,"[u'1486922499', u'1759597567']"
387,1759597567,1486922499,101.29242143784083,"[u'1759597567', u'1486922499']"
388,1486922498,1487066340,11.929416959988824,"[u'1486922498', u'1487066340']"
389,1487066340,1486922498,11.92941696017021,"[u'1487066340', u'1486922498']"
390,1486922498,1486922483,272.0609358829374,"[u'1486922498', u'1486922497', u'1486922496', u'1486922495', u'1486919379', u'1486922492', u'1486922490', u'1486919368', u'1486922489', u'1486922488', u'1486922487', u'1486922486', u'1486922485', u'1486922484', u'1486922483']"
391,1486922483,1486922498,272.060935883224,"[u'1486922483', u'1486922484', u'1486922485', u'1486922486', u'1486922487', u'1486922488', u'1486922489', u'1486919368', u'1486922490', u'1486922492', u'1486919379', u'1486922495', u'1486922496', u'1486922497', u'1486922498']"
392,1486922483,1487328506,432.0831628744377,"[u'1486922483', u'1486922482', u'2717807950', u'1486922481', u'1486922480', u'1486922479', u'1486922478', u'1486922475', u'1486922474', u'1486922473', u'1486922472', u'2717808146', u'1486922471', u'1486922464', u'1486922466', u'1486922468', u'1486922462', u'1486922460', u'1486922458', u'1486922452', u'1486922450', u'1486922454', u'1486922447', u'1486922446', u'1486922444', u'1487328506']"
393,1487328506,1486922483,432.0831628756232,"[u'1487328506', u'1486922444', u'1486922446', u'1486922447', u'1486922454', u'1486922450', u'1486922452', u'1486922458', u'1486922460', u'1486922462', u'1486922468', u'1486922466', u'1486922464', u'1486922471', u'2717808146', u'1486922472', u'1486922473', u'1486922474', u'1486922475', u'1486922478', u'1486922479', u'1486922480', u'1486922481', u'2717807950', u'1486922482', u'1486922483']"
394,2695865761,2695865765,17.933891704155815,"[u'2695865761', u'2695865762', u'2695865763', u'2695865764', u'2695865765']"
395,2695865765,2695865761,17.933891704619825,"[u'2695865765', u'2695865764', u'2695865763', u'2695865762', u'2695865761']"
396,2695865765,2695865768,16.930330670424237,"[u'2695865765', u'2695865766', u'2695865769', u'2695865767', u'2695865768']"
397,2695865768,2695865765,16.930330670871044,"[u'2695865768', u'2695865767', u'2695865769', u'2695865766', u'2695865765']"
398,2695865770,2695865771,96.89989576291667,"[u'2695865770', u'2718016397', u'2717864043', u'2695865771']"
399,2695865771,2695865770,96.89989576298771,"[u'2695865771', u'2717864043', u'2718016397', u'2695865770']"
400,2695865771,2695865765,50.63502681096953,"[u'2695865771', u'2695865765']"
401,2695865765,2695865771,50.63502681098576,"[u'2695865765', u'2695865771']"
402,2695865765,1759597957,11.306194697817737,"[u'2695865765', u'1759597957']"
403,1759597957,2695865765,11.30619469784127,"[u'1759597957', u'2695865765']"
404,2695865771,2695865773,72.42021830218091,"[u'2695865771', u'2695865773']"
405,2695865773,2695865771,72.42021830210076,"[u'2695865773', u'2695865771']"
406,2696067984,1759597636,77.91703199621234,"[u'2696067984', u'2696067985', u'2696067986', u'2696067990', u'2696067987', u'2696067988', u'2696067989', u'1759597636']"
407,1759597636,2696067984,77.91703199625667,"[u'1759597636', u'2696067989', u'2696067988', u'2696067987', u'2696067990', u'2696067986', u'2696067985', u'2696067984']"
408,2696067983,2696067984,25.16307759662361,"[u'2696067983', u'2696067984']"
409,2696067984,2696067983,25.163077596631688,"[u'2696067984', u'2696067983']"
410,2696067978,2696067979,17.324381580907485,"[u'2696067978', u'2696067979']"
411,2696067979,2696067978,17.324381581020862,"[u'2696067979', u'2696067978']"
412,2696067979,2696067983,87.05706067125385,"[u'2696067979', u'2696067980', u'2696067981', u'2696067982', u'2696067983']"
413,2696067983,2696067979,87.0570606712183,"[u'2696067983', u'2696067982', u'2696067981', u'2696067980', u'2696067979']"
414,1797189456,2696142195,37.035318932695446,"[u'1797189456', u'2696142198', u'2696142195']"
415,2696142195,1797189456,37.03531893265904,"[u'2696142195', u'2696142198', u'1797189456']"
416,2696142195,2696142196,22.496355237658953,"[u'2696142195', u'2696142196']"
417,2696142196,2696142195,22.49635523809311,"[u'2696142196', u'2696142195']"
418,2696142196,1797203231,10.105135490000977,"[u'2696142196', u'1797203231']"
419,1797203231,2696142196,10.10513548952432,"[u'1797203231', u'2696142196']"
420,2717390067,2717390065,190.10862908538792,"[u'2717390067', u'2719194264', u'2717390065']"
421,2717390065,2717390067,190.10862908526644,"[u'2717390065', u'2719194264', u'2717390067']"
422,2717390065,2703797224,202.06263601205518,"[u'2717390065', u'2717390063', u'2717390062', u'2717390060', u'2717390057', u'2703797224']"
423,2703797224,2717390065,202.06263601220468,"[u'2703797224', u'2717390057', u'2717390060', u'2717390062', u'2717390063', u'2717390065']"
